ID,Category,Name,AssessmentStatus,Method,MethodOption,GetCommand,SetCommand,User,RegistryPath,RegistryItem,DefaultValue,RecommendedValue,TypeValue,Operator,Severity,Level ,Graphical Method,UIX Impact,Use,Mode,Intro,Link for more infos,Tags,Consequences,Advice,Notes,Comment,GetFullCommand,SetFullCommand,Possible values,OS
2102,Login/Logout,Screen Saver : Set an inactivity interval for the screen saver,Automatically,Registry,-currentHost,,,username,com.apple.screensaver,idleTime,1200,1200,int,<=,Medium,1,"->    1. Open System Preferences
->    2. Desktop & ScreenSaver
->    3. Verify that “Show Screen saver after “ is set to 20 minutes",2,1,Basic,This policy set an inactivity interval before Screen saver,https://developer.apple.com/documentation/devicemanagement/screensaver,Screen Saver,,"The number of seconds to delay before the password will be required to unlock or stop the screen saver (the grace period). A value of 2147483647 (for example, 0x7FFFFFFF) disables this requirement. To use this option, you must set askForPassword to true. Available in macOS 10.13 and later.",,,,,Int : 60 ; 120 ; 300 ; 600 ; 1200 ; 1800,
2103:1,Login/Logout,Screen Saver : Secure screen saver corners (top-left),Automatically,Registry,,,,username,com.apple.dock,wvous-tl-corner,0,0,int,=,Medium,2,-> 1. Open System Preferences -> 2. Select Desktop & Screen Saver -> 3. Select Screen Saver -> 4. Select Hot Corners... and verify that Disable Screen Saver is not set,2,1,Basic,Hot Corners can be configured to disable the screen saver by moving the mouse cursor to a corner of the screen.,https://support.apple.com/guide/mac-help/use-hot-corners-mchlp3000/mac,Hot corners,If the screensaver is not set users may leave the computer available for an unauthorized person to access information.,Setting an inactivity interval for the screensaver prevents unauthorized persons from viewing a system left unattended for an extensive period of time.,,,,,Int : 1 (-) ; 2 (Mission Control) ; 3 (Application Window) ; 4 (Desktop) ; 5 (Start Screen Saver) ; 6 (Disable Screen Saver) ; 10 (Put Display to sleep) ; 11 (Launchpad) ; 12 (Notification Centre) ; 13 (Lock Screen),
2103:2,Login/Logout,Screen Saver : Secure screen saver corners (bottom-left),Automatically,Registry,,,,username,com.apple.dock,wvous-bl-corner,0,0,int,=,Medium,2,-> 1. Open System Preferences -> 2. Select Desktop & Screen Saver -> 3. Select Screen Saver -> 4. Select Hot Corners... and verify that Disable Screen Saver is not set,2,1,Basic,Hot Corners can be configured to disable the screen saver by moving the mouse cursor to a corner of the screen.,https://support.apple.com/guide/mac-help/use-hot-corners-mchlp3000/mac,Hot corners,If the screensaver is not set users may leave the computer available for an unauthorized person to access information.,Setting an inactivity interval for the screensaver prevents unauthorized persons from viewing a system left unattended for an extensive period of time.,,,,,Int : 1 (-) ; 2 (Mission Control) ; 3 (Application Window) ; 4 (Desktop) ; 5 (Start Screen Saver) ; 6 (Disable Screen Saver) ; 10 (Put Display to sleep) ; 11 (Launchpad) ; 12 (Notification Centre) ; 13 (Lock Screen),
2103:3,Login/Logout,Screen Saver : Secure screen saver corners (top-right),Automatically,Registry,,,,username,com.apple.dock,wvous-tr-corner,0,0,int,=,Medium,2,-> 1. Open System Preferences -> 2. Select Desktop & Screen Saver -> 3. Select Screen Saver -> 4. Select Hot Corners... and verify that Disable Screen Saver is not set,2,1,Basic,Hot Corners can be configured to disable the screen saver by moving the mouse cursor to a corner of the screen.,https://support.apple.com/guide/mac-help/use-hot-corners-mchlp3000/mac,Hot corners,If the screensaver is not set users may leave the computer available for an unauthorized person to access information.,Setting an inactivity interval for the screensaver prevents unauthorized persons from viewing a system left unattended for an extensive period of time.,,,,,Int : 1 (-) ; 2 (Mission Control) ; 3 (Application Window) ; 4 (Desktop) ; 5 (Start Screen Saver) ; 6 (Disable Screen Saver) ; 10 (Put Display to sleep) ; 11 (Launchpad) ; 12 (Notification Centre) ; 13 (Lock Screen),
2103:4,Login/Logout,Screen Saver : Secure screen saver corners (bottom-right),Automatically,Registry,,,,username,com.apple.dock,wvous-br-corner,0,0,int,=,Medium,2,-> 1. Open System Preferences -> 2. Select Desktop & Screen Saver -> 3. Select Screen Saver -> 4. Select Hot Corners... and verify that Disable Screen Saver is not set,2,1,Basic,Hot Corners can be configured to disable the screen saver by moving the mouse cursor to a corner of the screen.,https://support.apple.com/guide/mac-help/use-hot-corners-mchlp3000/mac,Hot corners,If the screensaver is not set users may leave the computer available for an unauthorized person to access information.,Setting an inactivity interval for the screensaver prevents unauthorized persons from viewing a system left unattended for an extensive period of time.,,,,,Int : 1 (-) ; 2 (Mission Control) ; 3 (Application Window) ; 4 (Desktop) ; 5 (Start Screen Saver) ; 6 (Disable Screen Saver) ; 10 (Put Display to sleep) ; 11 (Launchpad) ; 12 (Notification Centre) ; 13 (Lock Screen),
2200,Login/Logout,Policy Banner : Enable Policy Banner,,,,,,,,,,,,=,Low,ND,,,,,,,,,,,,,,,
2300,Login/Logout,Logout : Set Logout delay,,Registry,,,,,/Library/Preferences/.GlobalPreferences,com.apple.autologout.AutoLogOutDelay,,3600,int,<=,High,ND,,,,,,,,,,,,,,,
2400,Login/Logout,Windows text : Set Login Window Text,Automatically,Registry,,,,,/Library/Preferences/com.apple.loginwindow,LoginwindowText,,Protected by Cyberlib,string,,Low,ND,,,,,,,,,,,,,,,
2500,Login/Logout,Automatic login : Disable automatic login,Automatically,Registry,,,,,/Library/Preferences/com.apple.loginwindow,autoLoginUser,false,false,bool,,Medium,ND,,,,,,,,,,,,,,,
2600,Login/Logout,Console : Disable console logon from the logon screen,,Registry,,,,,/Library/Preferences/com.apple.loginwindow,DisableConsoleAccess,false,true,bool,=,Medium,ND,,,,,,,,,,,,,,,
2700,Login/Logout,Remote Login : Disable Remote Login,Automatically,systemsetup,,-getremotelogin,-setremotelogin,,,,off,off,,,,ND,,,,,,,,,,,,,,,
3000,User Preferences,iCloud : iCloud configuration,Manually,PlistBuddy,-c,,,,~/Library/Preferences/MobileMeAccounts.plist,Accounts:0:LoggedIn,ND,1,,=,High,2,,,,,,,,,,,,,,,
3001,User Preferences,iCloud : Enable Find my Mac,Manually,nvram,,,,,,fmm-mobileme-token-FMM,0,2,,=,High,ND,,,,,,,,,,,,,,,
3100,User Preferences,Bluetooth : Disable Bluetooth,Automatically,Registry,,,,,/Library/Preferences/com.apple.Bluetooth,ControllerPowerState,true,false,bool,=,Low,1,,,,,,,,,,,,,,,
3101,User Preferences,Bluetooth : Show Bluetooth status in menu bar,Automatically,Registry,-currentHost,,,username,com.apple.controlcenter.plist,Bluetooth,24,18,int,=,Low,1,,,,,,,,,,,,,,,
3102,User Preferences,Bluetooth : Disable Bluetooth Sharing,Automatically,Registry,-currentHost,,,username,com.apple.Bluetooth,PrefKeyServicesEnabled,false,false,bool,=,Low,1,,,,,,,,,,,,,,,
3200,User Preferences,Finder : Show hidden files in Finder,,Registry,,,,,/Library/Preferences/com.apple.finder,AppleShowAllFiles,NO,YES,string,=,Medium,ND,,,,,,,,,,,,,,,
3201,User Preferences,Finder : Display all files extentions,,Registry,,,,,NSGlobalDomain,AppleShowAllExtensions,false,true,bool,=,Medium,ND,,,,,,,,,,,,,,,
3202,User Preferences,Finder : Show status bar,,Registry,,,,,com.apple.finder,ShowStatusBar,false,true,bool,,Low,ND,,,,,,,,,,,,,,,
3400,User Preferences,Date and Time : Set time and date automatically,Automatically,systemsetup,,-getnetworktimeserver,-setnetworktimeserver,,,,,time.apple.com,,=,High,1,,,,,,,,,,,,,,,
3500,User Preferences,Sharing : Remote Apple Events,Automatically,systemsetup,,-getremoteappleevents,-setremoteappleevents,,,,off,off,,=,Medium,1,,,,,,,,,,,,,,,
3501,User Preferences,Sharing : Internet Sharing,Automatically,PlistBuddy,-c,,,,/Library/Preferences/SystemConfiguration/com.apple.nat.plist,NAT:Enabled,0,0,,=,Medium,1,,,,,,,,,,,,,,,
3502,User Preferences,Sharing : Disable Screen Sharing,Automatically,launchctl,,,,,,com.apple.screensharing,disable,disable,enable/disable,=,Medium,1,,,,,,,,,,,,,,,
3503,User Preferences,Sharing : Disable File Sharing,Automatically,launchctl,,,,,,com.apple.smbd,disable,disable,enable/disable,=,Medium,1,,,,,,,,,,,,,,,
3504,User Preferences,Sharing : Disable DVD or CD Sharing,Automatically,launchctl,,,,,,com.apple.ODSAgent,disable,disable,enable/disable,=,Medium,1,,,,,,,,,,,,,,,
3505,User Preferences,Sharing : Disable Media Sharing,Automatically,Registry,,,,username,com.apple.amp.mediasharingd,home-sharing-enabled,0,0,int,=,Medium,1,,,,,,,,,,,,,,,
3600,User Preferences,Location : Enable Location Services,Automatically,launchctl,,,,,,com.apple.locationd,disable,enable,enable/disable,=,Medium,2,,,,,,,,,,,,,,,
3700,User Preferences,Diagnostic : Disable sending diagnostic and usage data to Apple,Automatically,Registry,,,,,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory,AutoSubmit,,false,bool,=,Medium,2,,,,,,,,,,,,,,,
3701,User Preferences,Diagnostic : Share with App Developers,Automatically,Registry,,,,,/Library/Application\ Support/CrashReporter/DiagnosticMessagesHistory,ThirdPartyDataSubmit,,false,bool,=,Medium,ND,,,,,,,,,,,,,,,
3800,User Preferences,Advertisements : Limit Ad tracking and personalized Ads,Automatically,Registry,,,,,~/Library/Preferences/com.apple.AdLib,allowApplePersonalizedAdvertising,,false,bool,=,Medium,,,,,,,,,,,,,,,,
4000,Protections,Systeme intergrity protection : Enable Systeme intergrity protection,,csrutil,,status,,,,,enable,enable,enable/disable,=,High,ND,,,,,,,,,,,,,,,
4100,Protections,Gatekeeper : Enable Gatekeeper,,spctl,,--status,,,,,enable,enable,enable/disable,=,High,ND,,,,,,,,,,,,,,,
4200,Protections,Secure Keyboard Entry : Enable Secure Keyboard Entry in terminal.app,Automatically,Registry,,,,username,-app Terminal,SecureKeyboardEntry,false,true,bool,=,Medium,1,,,,,,,,,,,,,,,
5000,Encryption,FileVault : Enable FileVault,,fdesetup,,status,,,,,disable,enable,enable/disable,=,High,ND,,,,,,,,,,,,,,,
6000,Network,Firewall : Enable Firewall,,Registry,,,,,/Library/Preferences/com.apple.alf,globalstate,0,1,int,>=,High,ND,,,,,,,,,,,,,,,
6001,Network,Firewall : Enable logging,,Registry,,,,,/Library/Preferences/com.apple.alf,loggingenabled,true,true,bool,=,Low,ND,,,,,,,,,,,,,,,
6002,Network,Firewall : Enable Enable Stealth Mode,,Registry,,,,,/Library/Preferences/com.apple.alf,stealthenabled,false,true,bool,=,Medium,ND,,,,,,,,,,,,,,,
6003,Network,Firewall : Disable automatic software whitelisting,,Registry,,,,,/Library/Preferences/com.apple.alf,allowsignedenabled,true,false,bool,=,Medium,ND,,,,,,,,,,,,,,,
6004,Network,Firewall : Disable automatic signed software whitelisting,,Registry,,,,,/Library/Preferences/com.apple.alf,allowdownloadsignedenabled,true,false,bool,=,Medium,ND,,,,,,,,,,,,,,,
6005,Network,Firewall : Disable captive portal,,Registry,,,,,/Library/Preferences/SystemConfiguration/com.apple.captive.control,Active,true,false,bool,=,Medium,ND,,,,,,,,,,,,,,,
6100,Network,Remote Management : Disable Remote Management,,kickstart,,,,,,,,disable,bool,=,Medium,ND,,,,,,,,,,,,,,,
6200,Network,Power Nap : Disable Power Nap,Automatically,pmset,,,,,,womp,0,0,,=,Medium,1,,,,,,,,,,,,,,,
7000,Cache,Disable Content Caching,Automatically,AssetCacheManagerUtil,,isActivated,,,,,deactivate ,deactivate,bool ,=,Medium,2,,,,,,,,,,,,,,,
8000,Siri,Disable Siri,Automatically,Registry,,,,username,com.apple.assistant.support.plist,'Assistant Enabled',,false,bool,=,Low,,,,,,,,,,,,,,,,
